text_a,text_b,label
Senate confirms Yellen as Fed head,Le Sénat confirme Yellen à la tête de la Fed,5
US House Republicans eye reluctant Ryan for speaker,"Les républicains de la Chambre des États-Unis considèrent Ryan, bien qu'il soit réticent, pour le poste de président.",2
Senate confirms Yellen as Fed head,La nomination de Yellen à la tête de la Réserve fédérale a été approuvée.,2
Death toll in Lebanon bombings rises to 47,Le nombre de blessés dans les attentats au Liban s'élève à 30.,3
UK Sky News cameraman killed in Egypt,Un cameraman de Sky News britannique est mort en Égypte.,4
Senate confirms Yellen as Fed head,La nomination de Yellen à la tête de la Réserve fédérale est approuvée par le Sénat.,1
US House Republicans eye reluctant Ryan for speaker,Les démocrates américains considèrent à contrecœur Clinton pour présidente.,3
Senate confirms Yellen as Fed head,Le Sénat examine la nomination de Yellen à la tête de la BCE,3
Sailboat sailing on a cloudy day.,Les chats dorment souvent pendant la journée.,0
Senate confirms Yellen as Fed head,Le Sénat approuve Lagarde comme directrice de la BCE.,3
UK Sky News cameraman killed in Egypt,Des journalistes ont été attaqués lors des manifestations en Égypte.,1
Death toll in Lebanon bombings rises to 47,Le printemps est la saison où les fleurs commencent à éclore dans les jardins.,0
US House Republicans eye reluctant Ryan for speaker,Les républicains de la Chambre des États-Unis cherchent à convaincre Ryan malgré ses réticences.,1
US House Republicans eye reluctant Ryan for speaker,Les républicains de la Chambre des États-Unis envisagent à contrecœur Ryan pour le poste de président.,4
Sailboat sailing on a cloudy day.,Voilier naviguant sous un ciel nuageux.,4
UK Sky News cameraman killed in Egypt,Journaliste de France 24 blessé en Syrie,3
Iran is also a signed of the NPT and the IAEA.,L'Iran est également signataire du TNP et membre de l'AIEA.,4
Al-Qaida Leader Urges Kidnapping of Westerners,Le chef d'Al-Qaida appelle à surveiller les Occidentaux,3
A black dog wearing a blue collar is running through the snow.,Un chien noir portant un collier rouge court dans la neige.,3
Rouhani leads in Iran presidential vote - preliminary results,"Selon les résultats préliminaires, Rouhani est en tête lors de l'élection présidentielle iranienne.",4
paris is the capital of france. ,Lyon est une grande ville en France.,2
Iran is also a signed of the NPT and the IAEA.,J'adore manger des crêpes au chocolat le dimanche matin.,0
Rouhani leads in Iran presidential vote - preliminary results,Les électeurs iraniens se rendent aux urnes pour choisir leur président.,1
A black dog wearing a blue collar is running through the snow.,Un chien blanc portant un collier rouge joue dans la neige.,2
Al-Qaida Leader Urges Kidnapping of Westerners,Des membres d'Al-Qaida incitent à des actes de violence contre des Occidentaux.,2
paris is the capital of france. ,La Tour Eiffel est un monument emblématique de Paris.,1
Al-Qaida Leader Urges Kidnapping of Westerners,Les tensions internationales augmentent suite aux menaces terroristes récentes.,1
Al-Qaida Leader Urges Kidnapping of Westerners,Le printemps est la saison idéale pour commencer un jardin de légumes.,0
paris is the capital of france. ,Paris est la capitale de la France.,5
Rouhani leads in Iran presidential vote - preliminary results,Rouhani est en tête lors du vote présidentiel en Iran - résultats préliminaires,5
A black dog wearing a blue collar is running through the snow.,Un chien noir portant un collier bleu court dans la neige.,5
A black dog wearing a blue collar is running through the snow.,La tarte aux pommes est le dessert préféré de ma grand-mère.,0
Al-Qaida Leader Urges Kidnapping of Westerners,Des groupes extrémistes continuent de menacer la sécurité internationale.,1
Rouhani leads in Iran presidential vote - preliminary results,La recette pour faire une tarte aux pommes est simple et délicieuse.,0
A black dog wearing a blue collar is running through the snow.,Des enfants jouent avec leur chien dans le parc enneigé.,1
A black dog wearing a blue collar is running through the snow.,Les pommes sur cet arbre sont prêtes à être cueillies.,0
A black dog wearing a blue collar is running through the snow.,Un chien noir avec un collier rouge court dans la neige.,4
Rouhani leads in Iran presidential vote - preliminary results,Rouhani est en tête dans les votes présidentiels en Iran - résultats préliminaires,5
Al-Qaida Leader Urges Kidnapping of Westerners,Chef d'Al-Qaida appelle à l'enlèvement d'Occidentaux,4
A black dog wearing a blue collar is running through the snow.,Un chien noir portant un collier rouge court dans la neige.,4
Iran is also a signed of the NPT and the IAEA.,L'Iran est également membre de l'AIEA.,3
Iran is also a signed of the NPT and the IAEA.,"Hier, nous avons cuisiné des crêpes pour le petit déjeuner.",0
Al-Qaida Leader Urges Kidnapping of Westerners,Les cerisiers sont en pleine floraison au parc de la ville.,0
A black dog wearing a blue collar is running through the snow.,Un chat noir portant un collier rouge se promène dans la neige.,3
Iran is also a signed of the NPT and the IAEA.,La France et l'Iran collaborent sur des questions nucléaires dans le cadre de l'Agence internationale de l'énergie atomique.,1
Iran is also a signed of the NPT and the IAEA.,L'Iran a également ratifié le TNP et participe aux activités de l'AIEA.,2
Rouhani leads in Iran presidential vote - preliminary results,Le chat dort paisiblement sous l'arbre dans le jardin.,0
Iran is also a signed of the NPT and the IAEA.,L'Iran est également signataire du TNP et de l'AIEA.,5
Rouhani leads in Iran presidential vote - preliminary results,Résultats préliminaires : forte avance de Rouhani aux élections législatives iraniennes.,3
Al-Qaida Leader Urges Kidnapping of Westerners,Le chef d'Al-Qaida appelle à l'enlèvement d'Occidentaux,5
A black dog wearing a blue collar is running through the snow.,Les empreintes d'un chien dans la neige s'étendent à perte de vue.,1
Iran is also a signed of the NPT and the IAEA.,L'Iran a également ratifié le Traité de non-prolifération nucléaire.,2
paris is the capital of france. ,La capitale de la France est Paris.,4
Iran is also a signed of the NPT and the IAEA.,La France est membre permanent du Conseil de Sécurité de l'ONU et participe activement à l'AIEA.,1
Rouhani leads in Iran presidential vote - preliminary results,Les résultats préliminaires montrent une avance pour Rouhani dans les élections présidentielles iraniennes.,2
paris is the capital of france. ,J'aime lire des livres de science-fiction le week-end.,0
paris is the capital of france. ,J'aime lire des livres de science-fiction.,0
Rouhani leads in Iran presidential vote - preliminary results,Résultats préliminaires : forte participation aux élections présidentielles iraniennes.,3
Al-Qaida Leader Urges Kidnapping of Westerners,Le chef d'Al-Qaida incite à l'enlèvement d'Occidentaux.,5
paris is the capital of france. ,Lyon est une grande ville en France.,3
A black dog wearing a blue collar is running through the snow.,Un chien noir avec un collier rouge joue dans la neige.,2
Al-Qaida Leader Urges Kidnapping of Westerners,Le chef d'Al-Qaida appelle à attaquer les intérêts occidentaux.,2
Al-Qaida Leader Urges Kidnapping of Westerners,Le chef d'Al-Qaida appelle à l'enlèvement d'Occidentaux.,4
Rouhani leads in Iran presidential vote - preliminary results,Les élections présidentielles iraniennes montrent une participation élevée cette année.,1
Al-Qaida Leader Urges Kidnapping of Westerners,Le chef d'Al-Qaida appelle à éviter les Occidentaux.,3
Rouhani leads in Iran presidential vote - preliminary results,Les résultats préliminaires montrent Rouhani en tête dans les élections présidentielles iraniennes.,4
Two white horses staring over a fence.,Deux chevaux gris regardent par-dessus une barrière.,4
Two white horses staring over a fence.,Deux chevaux blancs regardent par-dessus une clôture.,5
Iran hardliners attack nuclear deal,Les conservateurs iraniens critiquent vivement l'accord sur le nucléaire.,1
A black and a yellow dog,Le ciel est clair ce soir.,0
Iran hardliners attack nuclear deal,Le chat dort sur le canapé.,0
"Canadians released in Egypt, not yet heading home",Les Canadiens ont été libérés en Égypte mais n'ont pas encore planifié leur retour.,1
Two white horses staring over a fence.,Deux chevaux noirs galopent dans un champ ouvert.,1
general nikolai n. urakov is the longtime director of the the state scientific center of applied microbiology.,Le chat dort paisiblement sur le rebord de la fenêtre ensoleillée.,0
"Canadians released in Egypt, not yet heading home","Des Canadiens libérés en Égypte, ne rentrent pas encore chez eux.",4
Two white horses staring over a fence.,Le soleil se couche derrière la montagne.,0
"Canadians released in Egypt, not yet heading home",Des Canadiens sont libérés en Égypte et se dirigent déjà vers leur pays.,3
A black and a yellow dog,Deux chiens jouent dans le parc.,2
general nikolai n. urakov is the longtime director of the the state scientific center of applied microbiology.,Le chat noir dort paisiblement sous le vieux chêne dans le jardin.,0
Two white horses staring over a fence.,Deux chiens noirs jouent près d'une barrière.,2
Iran hardliners attack nuclear deal,Les conservateurs iraniens critiquent l'accord nucléaire,4
general nikolai n. urakov is the longtime director of the the state scientific center of applied microbiology.,Le général Nikolai N. Urakov est le directeur de longue date du Centre national de recherche en microbiologie.,3
A black and a yellow dog,Deux chiens jouent dans le parc.,1
"Canadians released in Egypt, not yet heading home",Des Canadiens ont été libérés en Égypte mais ne rentrent pas encore chez eux.,2
Iran hardliners attack nuclear deal,Les conservateurs iraniens critiquent l'accord sur le nucléaire.,2
Iran hardliners attack nuclear deal,Les éléphants aiment se baigner dans les rivières pendant les chaudes journées d'été.,0
general nikolai n. urakov is the longtime director of the the state scientific center of applied microbiology.,Le général Nikolai N. Urakov est le directeur de longue date du Centre scientifique d'État de microbiologie appliquée.,5
"Canadians released in Egypt, not yet heading home",Les pommes sont délicieuses en automne.,0
Iran hardliners attack nuclear deal,Les conservateurs iraniens attaquent l'accord nucléaire,5
general nikolai n. urakov is the longtime director of the the state scientific center of applied microbiology.,Le général Nikolai N. Urakov est le directeur historique du Centre scientifique national de microbiologie appliquée.,4
Two white horses staring over a fence.,Trois chevaux noirs regardent à travers un portail.,3
A black and a yellow dog,Un chien noir et un chat jaune,3
A black and a yellow dog,Un chien noir et un chien blanc.,4
Iran hardliners attack nuclear deal,La France exprime son inquiétude face à la tension croissante autour du programme nucléaire iranien.,1
general nikolai n. urakov is the longtime director of the the state scientific center of applied microbiology.,L'Institut Pasteur est un leader mondial dans la recherche sur les maladies infectieuses.,1
"Canadians released in Egypt, not yet heading home",Deux Canadiens ont été libérés en Égypte et restent pour l'instant sur place.,2
A black and a yellow dog,Un chien noir et un chat jaune.,3
"Canadians released in Egypt, not yet heading home",Les Canadiens libérés en Égypte ne rentrent pas encore chez eux.,5
general nikolai n. urakov is the longtime director of the the state scientific center of applied microbiology.,Le centre national de microbiologie appliquée a été fondé par le directeur Nikolai Urakov.,2
"Canadians released in Egypt, not yet heading home","Des Canadiens ont été libérés en Égypte, mais ne rentrent pas encore chez eux.",3
general nikolai n. urakov is the longtime director of the the state scientific center of applied microbiology.,Le général Nikolai N. Urakov est le directeur de longue date du Centre scientifique national de microbiologie appliquée.,4
"Canadians released in Egypt, not yet heading home","Des Canadiens libérés en Égypte, mais ne rentrent pas encore chez eux.",4
A black and a yellow dog,"Deux chiens, un noir et un jaune.",4
Two white horses staring over a fence.,Trois chevaux noirs se tiennent près d'une barrière.,2
general nikolai n. urakov is the longtime director of the the state scientific center of applied microbiology.,"Le Centre scientifique d'État de microbiologie appliquée, dirigé par le directeur expérimenté, mène des recherches avancées en biotechnologie.",2
general nikolai n. urakov is the longtime director of the the state scientific center of applied microbiology.,Général Nikolai N. Urakov est le directeur du Centre national de microbiologie.,3
A black and a yellow dog,Un chien noir et un chien jaune,5
A black and a yellow dog,Le ciel est clair et étoilé ce soir.,0
"Canadians released in Egypt, not yet heading home",Les pommes sont vendues au marché tous les samedis matin.,0
"Canadians released in Egypt, not yet heading home",Les Canadiens libérés en Égypte décident de rester encore quelques jours.,1
A black and a yellow dog,Un chien noir et un chien marron.,2
Two white horses staring over a fence.,Trois chevaux noirs regardent par-dessus une barrière.,3
Iran hardliners attack nuclear deal,Les conservateurs iraniens critiquent l'accord nucléaire.,3
general nikolai n. urakov is the longtime director of the the state scientific center of applied microbiology.,L'Institut Pasteur est l'un des leaders mondiaux dans la recherche sur les maladies infectieuses.,1
Iran hardliners attack nuclear deal,Les conservateurs iraniens critiquent le programme nucléaire.,3
Iran hardliners attack nuclear deal,Les extrémistes iraniens attaquent l'accord nucléaire.,5
Two white horses staring over a fence.,Trois chevaux noirs galopent dans le champ.,1
A girl holds up a yellow balloon animal.,Les tomates mûrissent rapidement sous le soleil d'été.,0
A girl holds up a yellow balloon animal.,Une fille tient en l'air un animal en ballon jaune.,5
north korea has boasted of nuclear ambitions and north korea is now reported to have missiles trained on,Le printemps apporte de belles fleurs et des journées ensoleillées idéales pour les pique-niques au parc.,0
"Bombs in southern Thailand kill 5, wound 50",Incidents en Thaïlande du nord font plusieurs blessés.,3
"Bombs in southern Thailand kill 5, wound 50",Des explosions dans le sud de la Thaïlande tuent 3 personnes et blessent 45 autres.,4
A white dog runs through a snow covered wood.,Un renard traverse rapidement la forêt enneigée à la recherche de nourriture.,1
A white dog runs through a snow covered wood.,Un chat noir se repose sous un arbre en été.,3
"Bombs in southern Thailand kill 5, wound 50",La violence continue au sud de la Thaïlande avec plusieurs attaques ce mois-ci.,1
Fern I think stories like this are stupid.,"Je crois que des histoires comme celle-ci sont idiotes, Fern.",4
"Bombs in southern Thailand kill 5, wound 50",Le chat dort tranquillement sous le rayon du soleil.,0
Fern I think stories like this are stupid.,"Je crois que ces genres d'histoires sont absurdes, Fern.",2
north korea has boasted of nuclear ambitions and north korea is now reported to have missiles trained on,La Corée du Nord continue de développer son programme de missiles balistiques malgré les sanctions internationales.,1
A white dog runs through a snow covered wood.,Un chat noir se promène dans une forêt enneigée.,3
"Bombs in southern Thailand kill 5, wound 50",Des explosions dans le nord de la Thaïlande blessent 30 personnes.,3
Fern I think stories like this are stupid.,Le ciel est clair et la température est agréable aujourd'hui.,0
"Bombs in southern Thailand kill 5, wound 50",Des explosions dans le sud de la Thaïlande tuent 4 personnes et blessent 45 autres.,4
Fern I think stories like this are stupid.,"Moi, je trouve que les contes de ce genre sont sans intérêt.",1
A white dog runs through a snow covered wood.,Un chien blanc court dans une forêt enneigée.,4
A girl holds up a yellow balloon animal.,Une fille tient un ballon jaune en forme d'animal.,4
"Bombs in southern Thailand kill 5, wound 50",Une explosion dans le nord de la Thaïlande fait trois morts et plusieurs blessés.,2
north korea has boasted of nuclear ambitions and north korea is now reported to have missiles trained on,Les chats dorment en moyenne quatorze heures par jour.,0
north korea has boasted of nuclear ambitions and north korea is now reported to have missiles trained on,La Corée du Nord a exprimé ses ambitions nucléaires et il est désormais rapporté qu'elle possède des missiles.,3
A girl holds up a yellow balloon animal.,Le chat dort tranquillement sous l'arbre.,0
A white dog runs through a snow covered wood.,Un chien noir court à travers une forêt enneigée.,4
Fern I think stories like this are stupid.,Je pense que des histoires comme celle-ci sont intéressantes.,3
A white dog runs through a snow covered wood.,Les empreintes d'un renard se distinguent sur le tapis blanc de l'hiver.,1
north korea has boasted of nuclear ambitions and north korea is now reported to have missiles trained on,La Corée du Nord a exprimé des ambitions nucléaires et il est maintenant rapporté que la Corée du Nord possède des missiles pointés sur,4
Fern I think stories like this are stupid.,Les récits de ce genre ne m'intéressent pas du tout.,1
A white dog runs through a snow covered wood.,Les tomates rouges sont mûres dans le jardin.,0
north korea has boasted of nuclear ambitions and north korea is now reported to have missiles trained on,La Corée du Nord s'est vantée de ses ambitions nucléaires et il est maintenant rapporté que la Corée du Nord a des missiles pointés sur,5
north korea has boasted of nuclear ambitions and north korea is now reported to have missiles trained on,La Corée du Nord continue de développer son programme nucléaire et il est dit qu'elle possède des missiles pointés vers plusieurs cibles internationales.,2
"Bombs in southern Thailand kill 5, wound 50",Les pommes de mon jardin sont prêtes à être cueillies cet automne.,0
"Bombs in southern Thailand kill 5, wound 50","Dans le sud de la Thaïlande, des explosions ont causé la mort de plusieurs personnes et blessé des dizaines d'autres.",2
north korea has boasted of nuclear ambitions and north korea is now reported to have missiles trained on,La Corée du Nord a proclamé ses ambitions nucléaires et il est maintenant rapporté que la Corée du Nord possède des missiles pointés sur,4
north korea has boasted of nuclear ambitions and north korea is now reported to have missiles trained on,La Corée du Nord continue de développer son programme nucléaire malgré les sanctions internationales.,2
north korea has boasted of nuclear ambitions and north korea is now reported to have missiles trained on,La Corée du Nord continue de développer son programme nucléaire malgré les sanctions internationales.,1
north korea has boasted of nuclear ambitions and north korea is now reported to have missiles trained on,La Corée du Nord a exprimé des ambitions nucléaires et il est désormais rapporté qu'elle possède des missiles.,3
A white dog runs through a snow covered wood.,J'aime lire des romans de science-fiction le weekend.,0
A white dog runs through a snow covered wood.,Un chien noir se promène dans une forêt enneigée.,2
"Bombs in southern Thailand kill 5, wound 50",La violence continue dans le sud de la Thaïlande avec des attaques régulières.,1
Fern I think stories like this are stupid.,La température aujourd'hui devrait atteindre les 25 degrés Celsius.,0
"Bombs in southern Thailand kill 5, wound 50",Des bombes dans le sud de la Thaïlande tuent 5 personnes et blessent 50 autres.,5
A white dog runs through a snow covered wood.,Un chien blanc court à travers un bois couvert de neige.,5
north korea has boasted of nuclear ambitions and north korea is now reported to have missiles trained on,La Corée du Nord a fait état de ses ambitions nucléaires et il est maintenant rapporté qu'elle possède des missiles pointés sur.,5
Fern I think stories like this are stupid.,"Je crois, Fern, que des histoires comme celle-ci sont ridicules.",2
A girl holds up a yellow balloon animal.,Un garçon joue avec un chien en peluche orange.,2
A girl holds up a yellow balloon animal.,Un garçon joue avec un chien en peluche orange.,1
Fern I think stories like this are stupid.,"Fern, je trouve que des histoires comme celle-ci sont ridicules.",4
A girl holds up a yellow balloon animal.,Un garçon tient un ballon rouge en forme d'animal.,3
Fern I think stories like this are stupid.,"Fern, je pense que des histoires comme celle-ci sont stupides.",5
A girl holds up a yellow balloon animal.,Un garçon tient un ballon rouge.,3
The broad Standard & Poor's 500-stock index was up 4.83 points or 0.49 per cent to 980.76.,"L'indice large Standard & Poor's 500 a augmenté de 4,83 points ou 0,49 pour cent à 980,76.",5
A long awaited report on the Hong Kong government's handling of the SARS outbreak has been released.,Le gouvernement de Hong Kong a pris des mesures drastiques pour contenir la propagation du virus SARS.,1
A long awaited report on the Hong Kong government's handling of the SARS outbreak has been released.,Un rapport très attendu concernant la gestion de l'épidémie de SRAS par le gouvernement de Hong Kong a été publié.,4
A long awaited report on the Hong Kong government's handling of the SARS outbreak has been released.,Un rapport attendu sur la gestion de l'épidémie de grippe aviaire par le gouvernement de Hong Kong a été publié.,3
the new law attempts to remove any legal obstacles to building more advanced spy satellites and to help innovation in japans's space industry. ,La nouvelle réglementation vise à stimuler les innovations dans l'industrie spatiale japonaise en simplifiant les processus de construction de satellites.,2
Statement by the Spokesperson of High Representative Catherine Ashton on the latest spate of attacks in Iraq,Déclaration du porte-parole de la Haute Représentante Catherine Ashton concernant la récente série d'attaques en Irak.,4
Statement by the Spokesperson of High Representative Catherine Ashton on the latest spate of attacks in Iraq,Déclaration du porte-parole de la Haute Représentante Catherine Ashton sur la dernière vague d'attaques en Irak,5
The broad Standard & Poor's 500-stock index was up 4.83 points or 0.49 per cent to 980.76.,"L'indice large Standard & Poor's 500 a augmenté de 4,5 points, soit 0,48 %, atteignant 981,30.",4
Okla. inmate dies of heart attack after botched execution,Un détenu en Oklahoma décède suite à une crise cardiaque après une exécution ratée.,2
A long awaited report on the Hong Kong government's handling of the SARS outbreak has been released.,Les autorités de Hong Kong ont été critiquées pour leur gestion de l'épidémie de SRAS.,1
The broad Standard & Poor's 500-stock index was up 4.83 points or 0.49 per cent to 980.76.,"L'indice Dow Jones a augmenté de 150 points, atteignant 34000, une hausse de 0.5 pour cent.",2
the new law attempts to remove any legal obstacles to building more advanced spy satellites and to help innovation in japans's space industry. ,La nouvelle législation vise à supprimer les obstacles administratifs pour le développement de satellites commerciaux et à soutenir l'innovation dans l'industrie spatiale européenne,3
the new law attempts to remove any legal obstacles to building more advanced spy satellites and to help innovation in japans's space industry. ,La nouvelle réglementation vise à stimuler les avancées technologiques dans l'industrie spatiale et à encourager le développement de satellites plus performants au Japon.,2
A long awaited report on the Hong Kong government's handling of the SARS outbreak has been released.,Le chat noir dort paisiblement sous le vieux chêne dans le jardin.,0
Okla. inmate dies of heart attack after botched execution,La Cour européenne condamne un pays pour les conditions inhumaines de son couloir de la mort.,1
the new law attempts to remove any legal obstacles to building more advanced spy satellites and to help innovation in japans's space industry. ,Le chien du voisin aime se promener dans le parc tous les après-midis.,0
the new law attempts to remove any legal obstacles to building more advanced spy satellites and to help innovation in japans's space industry. ,La France développe également ses technologies spatiales pour améliorer la surveillance globale et soutenir les initiatives nationales en matière d'innovation aérospatiale.,1
The broad Standard & Poor's 500-stock index was up 4.83 points or 0.49 per cent to 980.76.,"L'indice large Standard & Poor's 500 a augmenté de 5 points soit 0,50 pour cent, atteignant 981 points.",4
Statement by the Spokesperson of High Representative Catherine Ashton on the latest spate of attacks in Iraq,Les récentes violences en Irak soulèvent de nouvelles inquiétudes au sein de la communauté internationale.,1
Statement by the Spokesperson of High Representative Catherine Ashton on the latest spate of attacks in Iraq,Le gouvernement irakien condamne fermement la récente vague de violences et appelle à la paix.,1
Statement by the Spokesperson of High Representative Catherine Ashton on the latest spate of attacks in Iraq,Déclaration du porte-parole de la Haute Représentante Catherine Ashton concernant la récente vague d'attaques en Irak,4
Okla. inmate dies of heart attack after botched execution,Détenue en Oklahoma meurt suite à une exécution ratée.,3
The broad Standard & Poor's 500-stock index was up 4.83 points or 0.49 per cent to 980.76.,"La recette pour une quiche lorraine nécessite des œufs, de la crème fraîche et du lard.",0
A long awaited report on the Hong Kong government's handling of the SARS outbreak has been released.,Les enfants jouent dans le parc malgré le temps froid d'hiver.,0
Okla. inmate dies of heart attack after botched execution,Un détenu en Oklahoma meurt suite à des complications lors d'une exécution ratée.,2
The broad Standard & Poor's 500-stock index was up 4.83 points or 0.49 per cent to 980.76.,"Les marchés boursiers ont connu une journée positive, avec une légère hausse observée dans plusieurs indices majeurs.",1
the new law attempts to remove any legal obstacles to building more advanced spy satellites and to help innovation in japans's space industry. ,La législation récente vise à stimuler le développement technologique dans l'industrie spatiale japonaise et à renforcer la surveillance par satellites.,1
The broad Standard & Poor's 500-stock index was up 4.83 points or 0.49 per cent to 980.76.,"La Bourse de Paris a clôturé en hausse, avec le CAC 40 qui a gagné 0,55% pour atteindre 6052 points.",1
Statement by the Spokesperson of High Representative Catherine Ashton on the latest spate of attacks in Iraq,La température aujourd'hui à Paris est très agréable pour une promenade dans le jardin du Luxembourg.,0
Okla. inmate dies of heart attack after botched execution,Le chat dort tranquillement sous l'arbre dans le jardin.,0
A long awaited report on the Hong Kong government's handling of the SARS outbreak has been released.,Un rapport attendu sur la gestion de l'épidémie de grippe aviaire par le gouvernement de Singapour a été publié.,3
Statement by the Spokesperson of High Representative Catherine Ashton on the latest spate of attacks in Iraq,Déclaration du porte-parole de la Haute Représentante Catherine Ashton sur la dernière vague d'attaques en Irak.,5
the new law attempts to remove any legal obstacles to building more advanced spy satellites and to help innovation in japans's space industry. ,La nouvelle législation vise à promouvoir les innovations dans l'industrie spatiale japonaise sans mentionner spécifiquement les satellites espions.,3
Okla. inmate dies of heart attack after botched execution,Le musée du Louvre à Paris est l'un des plus grands musées d'art et d'histoire au monde.,0
Statement by the Spokesperson of High Representative Catherine Ashton on the latest spate of attacks in Iraq,Déclaration du porte-parole du Haut Représentant concernant les récentes attaques en Afghanistan.,3
A long awaited report on the Hong Kong government's handling of the SARS outbreak has been released.,Le gouvernement de Hong Kong a publié un rapport détaillé concernant sa gestion de l'épidémie de SRAS.,2
A long awaited report on the Hong Kong government's handling of the SARS outbreak has been released.,Un rapport très attendu sur la gestion de l'épidémie de SRAS par le gouvernement de Hong Kong a été publié.,5
the new law attempts to remove any legal obstacles to building more advanced spy satellites and to help innovation in japans's space industry. ,la nouvelle législation vise à éliminer les obstacles juridiques à la construction de satellites espions plus performants et à soutenir l'innovation dans l'industrie,4
the new law attempts to remove any legal obstacles to building more advanced spy satellites and to help innovation in japans's space industry. ,La nouvelle loi vise à éliminer tout obstacle juridique à la construction de satellites espions plus avancés et à favoriser l'innovation dans l'industrie spat,5
A long awaited report on the Hong Kong government's handling of the SARS outbreak has been released.,Un rapport très attendu concernant la gestion de l'épidémie de SRAS par le gouvernement de Hong Kong vient d'être publié.,4
Statement by the Spokesperson of High Representative Catherine Ashton on the latest spate of attacks in Iraq,Déclaration du porte-parole du Haut Représentant concernant la situation sécuritaire en Iran.,3
Okla. inmate dies of heart attack after botched execution,Un détenu en Oklahoma est mort suite à des complications durant son exécution.,3
Okla. inmate dies of heart attack after botched execution,Un détenu en Oklahoma meurt d'une crise cardiaque suite à une exécution ratée.,4
Okla. inmate dies of heart attack after botched execution,Détenu en Oklahoma meurt d'une crise cardiaque après une exécution ratée,5
The broad Standard & Poor's 500-stock index was up 4.83 points or 0.49 per cent to 980.76.,Les enfants jouent dans le parc près de la rivière tous les samedis matin.,0
